"user_id","discounted_booking_rate","avg_dist_flown","flight_to_hotel_booking_ratio","checked_bags_ratio","booking_count","booking_rate","active_days","avg_page_clicks","avg_bags","cancellation_rate","num_flight_booked","num_hotel_booked","avg_num_seats","total_checked_bags","travel_lead_time","avg_cancel_lead_time","total_dist_flown","avg_dist_flown_incl","avg_hotel_stay","avg_hotel_rooms","avg_trip_duration","avg_session_duration","num_flights_discount_applied","num_hotel_discount_applied","num_flights_discount_offered","num_hotel_discount_offered","total_hotel_discount_charges","total_flight_discount_charges","customer_age","gender","married","has_children","home_city","home_country","home_airport","num_trips","num_sessions","user_start_date","user_end_date","total_page_clicks","avg_session_duration_seconds","num_of_cancellation","num_of_flights_discount","num_of_hotel_discount","total_flight_charges","total_hotel_charges","total_sales","age_group","avg_total_sales","customer_value_per_trip","customer_value_per_session","avg_cust_lifespan","hotel_discount_proportion","flight_discount_proportion","avg_flight_discount_charges","avg_hotel_discount_charges","total_discount_proportion","avg_dollar_saved","avg_dollar_saved_per_km","customer_lifetime_value","scaled_ads","bargain_hunter_index","perks_offered"
"23557","0","0","0","0","2","0.25","190","10.25","0","0.00","0","2","0","0","","","0.00","0.00","10","2","0","00:01:16.625","0","1","0","1","131.50","0.00","67","F","true","false","new york","usa","LGA","2","8","2023-01-04","2023-07-14","82","76.625","0","0","2","0.00","3670.50","3670.500","Senior Citizen","3670.50","1835.25","458.81","1.14","0.25","0.00","0","0.18","0.25","0","0","2092.19","0.000","0.0000","Extended Booking Flexibility Options"
"94883","0","1451.3350000000000000","1","0","2","0.25","138","9.13","0.50","0.00","2","2","2","1","7.50","","2902.67","362.83","1","2","1","00:01:07.75","0","0","0","1","0.0","0.00","53","F","true","false","kansas city","usa","MCI","2","8","2023-01-10","2023-05-28","73","67.750","0","0","1","1487.26","230.00","1717.260","Middle Aged","1717.26","858.63","214.66","1.11","0.13","0.00","0","0.10","0.13","0","0","953.08","0.000","0.0000","10% Discount on Next Confirmed Booking"
"101486","0","995.6800000000000000","0","0","2","0.25","178","16.38","0.00","0.00","1","2","1","0","9.00","","995.68","124.46","4","2","4","00:02:02.25","0","0","2","0","0","0.00","53","F","true","true","tacoma","usa","TCM","2","8","2023-01-21","2023-07-18","131","122.250","0","2","0","189.91","2199.00","2388.910","Middle Aged","2388.91","1194.46","298.61","1.05","0.00","0.25","0.08","0","0.25","0","0","1254.18","0.000","0.0000","Extended Cancellation Window at No Additional Cost"
"101961","0","1366.5700000000000000","1","0","5","0.63","154","15.75","0.40","0.00","5","5","1","2","6.60","","6832.85","854.11","4","1","4","00:01:57.75","1","0","1","1","0.0","4.97","45","F","true","false","boston","usa","BOS","5","8","2023-01-19","2023-06-22","126","117.750","0","2","1","1237.69","2429.00","3666.693","Middle Aged","3666.69","733.34","458.34","1.06","0.13","0.25","0.15","0.10","0.38","4.97","0.001","777.34","0.007","0.0003","Additional Free Checked Baggage Allowance"
"106907","2","25594.960000000000","1","10","1","0.13","197","30.00","10.00","1.00","1","1","12","10","198.50","173.00","25594.96","3199.37","22","6","13","00:12:38.915066","1","1","0","0","0","0.00","47","F","true","true","miami","usa","TNT","1","8","2023-01-10","2023-07-27","240","758.915","1","1","1","166824.72","8514.00","175338.720","Middle Aged","175338.72","175338.72","21917.34","1.11","0.13","0.13","0","0","0.25","0","0","194625.98","0.000","0.0000","Access to Special Booking Discounts"
"118043","0","2505.1666666666666667","0","1","5","0.63","159","20.50","0.60","0.00","3","4","1","3","9.67","","7515.50","939.44","4","1","4","00:02:33.125","1","3","1","0","194.55","0.00","53","F","false","true","los angeles","usa","LAX","5","8","2023-02-05","2023-07-15","164","153.125","0","2","3","5126.56","5616.45","10743.010","Middle Aged","10743.01","2148.60","1342.88","0.97","0.38","0.25","0.20","0.12","0.63","0","0","2084.14","0.000","0.0000","Priority Check-in and Boarding Privilege"
"120851","0","2259.8000000000000000","1","0","1","0.13","158","6.88","0.00","0.00","1","1","1","0","8.00","","2259.80","282.47","11","1","12","00:00:51.75","0","0","2","0","0","0.00","53","F","true","true","santa ana","usa","SNA","1","8","2023-01-04","2023-06-12","55","51.750","0","2","0","384.68","2002.00","2386.680","Middle Aged","2386.68","2386.68","298.34","1.14","0.00","0.25","0.23","0","0.25","0","0","2720.82","0.000","0.0000","Extended Booking Flexibility Options"
"125845","0","2861.5200000000000000","1","0","3","0.33","192","17.67","0.67","0.00","3","3","1","2","9.33","","8584.56","953.84","2","1","3","00:02:11.777778","1","0","0","1","0.00","213.11","42","F","true","false","el paso","usa","BIF","3","9","2023-01-08","2023-07-20","159","131.778","0","1","1","2250.59","689.00","2939.586","Middle Aged","2939.59","979.86","326.62","1.12","0.11","0.11","0.15","0.05","0.22","106.56","0.012","1097.44","0.090","0.0015","Extended Cancellation Window at No Additional Cost"
"133058","0","2887.1800000000000000","0","0","1","0.13","190","9.13","0.00","0.00","1","0","1","0","6.00","","2887.18","360.90","0","0","4","00:01:08.125","0","0","0","1","0.00","0.00","20","F","false","false","austin","usa","AUS","1","8","2023-01-07","2023-07-16","73","68.125","0","0","1","423.51","0.00","423.510","Student","423.51","423.51","52.94","1.13","0.13","0.00","0","0.05","0.13","0","0","478.57","0.000","0.0000","Extended Booking Flexibility Options"
"149058","0","1959.8720000000000000","1","0","5","0.63","166","17.75","0.40","0.00","5","5","1","2","6.60","","9799.36","1224.92","5","1","6","00:02:11.75","1","0","0","0","0","9.53","52","F","false","true","birmingham","usa","BHM","5","8","2023-01-04","2023-06-19","142","131.750","0","1","0","2413.29","5579.00","7992.293","Middle Aged","7992.29","1598.46","999.04","1.14","0.00","0.13","0.05","0","0.13","9.53","0.001","1822.24","0.007","0.0000","Additional Free Checked Baggage Allowance"
"152583","0","2265.7200000000000000","1","2","1","0.13","124","18.63","2.00","0.00","1","1","1","2","9.00","","2265.72","283.21","2","1","5","00:02:19","0","0","1","1","0.00","0.00","39","F","false","false","colorado springs","usa","COS","1","8","2023-02-01","2023-06-05","149","139.000","0","1","1","367.83","426.00","793.830","Middle Aged","793.83","793.83","99.23","0.99","0.13","0.13","0.15","0.15","0.25","0","0","785.89","0.000","0.0000","Free Meal Included With Hotel Booking"
